"sp","quadrat","lx","ly","tag","stem","dbh.2018","codes.2018","status.2015","status.2016","status.2017","status.2018","new.status","codes.2013","dbh.2013","status..2017","dbh.if.dead","perc.crown","crown.position","fad1","fad2","fad3","fad4","DF","liana.load","fraxinus.crown.thinning","fraxinus.epicormic.growth","EABF","DE.count","Old.comments","X2019.comments","cored","Date","surveyors"
"litu",1913,15.7,18,190790,1,0,"DS","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"fram",1914,14.6,0.5,190792,1,69,"DS","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1914,12.2,1.3,190793,1,621,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"quru",1914,10.6,1.4,190794,1,667,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"qupr",1914,10.2,1.6,190795,1,123,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"fram",1914,13.2,5.1,190796,1,93,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cagl",1914,12.5,8.4,190798,1,276,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"fram",1914,11.1,10.2,190799,1,78,"DS","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"qupr",1914,14.5,7.6,190800,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"quve",1914,19.5,17.3,190807,1,0,"DC","A","A","DS","PD","","","","","","","","","","","","","","","","","","","","","",""
"litu",1914,20,19.1,190809,1,263,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cagl",1915,18.1,3.9,190812,1,103,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cagl",1915,14.7,2.5,190813,1,188,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"acru",1915,11.5,3.6,190814,1,103,"NULL",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"caovl",1915,10.8,9.1,190816,1,144,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caovl",1915,17.8,12.2,190818,1,369,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"fram",1915,16.6,11.8,190819,1,30,"DS","A","A","AU","AU","","","","","","","","","","","","","","","","","","crown broken in 2 places","","","",""
"fram",1915,15.1,13.1,190820,1,42,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","crown leaned on by fallen tree","","","",""
"fram",1915,17.1,17,190824,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"acru",1915,16.4,20,190825,1,139,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"quru",1915,11.5,15,190826,1,309,"NULL","A","A","A","AU","","","","","","","","","","","","","","","","","","tag on ground; epicormics","","","",""
"litu",1915,10.3,14.5,190827,1,664,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"fram",1915,9.3,19.7,190828,1,42,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"quve",1916,18.5,2.4,190830,1,0,"DS","A","DS","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"quve",1916,19.1,14,190834,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"litu",1916,20,15.4,190835,1,432,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","tag on ground","","","",""
"cato",1916,20,17.1,190837,1,108,"NULL",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"quru",1916,19.1,19.7,190838,1,595,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1916,15,17.2,190840,1,182,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"qupr",1916,10.6,12,190845,1,599,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","root rot","","","",""
"nysy",1916,11.7,7.7,190846,1,163,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"ulru",1912,3.4,13.4,190847,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"fram",1914,5.8,17,190903,1,74,"DS","A","A","DS","PD","","","","","","","","","","","","","","","","","","","","","",""
"fram",1914,10.1,16.6,190904,1,77,"J","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cagl",1914,11.3,19.1,190905,1,251,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"quru",1915,2.5,3.6,190907,1,720,"NULL","A","DS","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"nysy",1915,4.9,2.9,190908,1,0,"DC","A","DC","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"nysy",1915,4.9,5.1,190910,1,0,"DC","A","DC","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"qupr",1915,9.1,5,190911,1,0,"DS","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"litu",1915,1,9.1,190912,1,554,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1915,2.7,13.3,190916,1,449,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caovl",1915,1,17.5,190918,1,129,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1915,1.3,19.8,190919,1,684,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1915,7,17.5,190922,1,543,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"nysy",1916,3,5.2,190924,1,228,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"nysy",1916,10,4.6,190927,1,103,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caovl",1916,1,8.4,190928,1,237,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caovl",1916,4.8,12.3,190929,1,0,"DC","A","AU","DS","PD","","","","","","","","","","","","","","","","","","","","","",""
"quve",1916,6.5,15.6,190933,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"quru",1916,9.4,17.1,190935,1,246,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"quru",1917,18.7,3.1,192001,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"cagl",1917,17.3,3.9,192002,1,103,"NULL",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"quru",1917,20,9.1,192004,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"cagl",1917,14.7,7.7,192005,1,111,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"qual",1917,12,2,192008,1,672,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"qupr",1917,14.1,13.6,192010,1,0,"DS","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"qual",1917,20,18.8,192011,1,614,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","tag missing","","","",""
"nysy",1918,20,10.6,192022,1,121,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"nysy",1918,14.3,6.2,192024,1,192,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"saal",1918,9.7,15.5,192027,1,137,"NULL","A","A","A","AU","","","","","","","","","","","","","","","","","","break @ 5m","","","",""
"quve",1918,5.4,15.7,192028,1,143,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"qual",1918,9.7,17.2,192029,1,420,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"unk",1918,17.4,12.6,192031,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"cagl",1918,17.6,17.9,192033,1,226,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cagl",1918,16.9,17.1,192035,1,136,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"fram",1919,14.6,2,192037,1,67,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"qual",1919,11.1,5.5,192039,1,529,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cato",1919,18.4,5.8,192044,1,125,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"unk",1919,18,3.3,192047,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"quru",1919,18.6,10.8,192051,1,136,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"fram",1919,15.2,9.4,192054,1,0,"DT","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"qual",1919,14.8,10.1,192055,1,612,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","K","","","",""
"qupr",1920,14.4,10.1,192062,1,520,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"qupr",1920,18,11.7,192064,1,518,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","heartwood exposed - AN","","","",""
"qupr",1920,11.1,14.9,192068,1,546,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"quru",1921,19.3,1.4,192069,1,693,"NULL","A","A","AU","A","","","","","","","","","","","","","","","","","","uneven crown die back","","","",""
"qupr",1921,18.2,0.4,192070,1,542,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1921,15.7,6.4,192073,1,119,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"qupr",1921,11.5,2.8,192074,1,429,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1921,15.3,10.2,192077,1,410,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","tag missing","","","",""
"qupr",1921,19.8,13.9,192080,1,134,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"qupr",1921,18.8,16.1,192081,1,145,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"unk",1921,18.7,18.1,192082,1,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"qupr",1921,15.2,12.5,192083,1,0,"DC","A","DS","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"litu",1921,10.5,17.8,192085,1,133,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"qual",1921,5.8,14.6,192088,1,318,"DS","A","A","AU","AU","","","","","","","","","","","","","","","","","","break at ?16m","","","",""
"qupr",1922,18,0.5,192098,1,425,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"qupr",1922,12.1,1.3,192099,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"litu",1922,12.1,4.4,192103,1,654,"I","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cagl",1922,19.1,5.7,192106,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"litu",1922,19,12,192107,1,323,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"qupr",1922,17.1,13.9,192108,1,119,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cato",1922,18.4,16.7,192110,1,0,"DS","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"acru",1922,17,19.6,192111,1,114,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","split vertical through middle","","","",""
"quru",1922,14.3,15.9,192112,1,0,"DS","A","A","DS","PD","","","","","","","","","","","","","","","","","","","","","",""
"litu",1922,5.9,6.9,192113,1,412,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","tag missing","","","",""
"litu",1922,6.1,8.4,192114,1,667,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","tag missing","","","",""
"quru",1922,8.7,14,192115,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"nysy",1922,9.4,16.8,192116,1,216,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"nysy",1922,7.3,18.7,192118,1,294,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"nysy",1922,5.4,16.9,192120,1,327,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1922,12.7,10.8,192121,1,380,"M","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1922,12.7,10.8,192121,2,279,"S","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1923,19.2,11.6,192128,1,195,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1923,19.9,14.2,192129,1,152,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"qupr",1923,17,14.7,192130,1,382,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cagl",1923,13.7,10.9,192131,1,294,"M","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cagl",1923,13.7,10.9,192131,2,105,"DS","DS","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"litu",1923,14.5,8.9,192132,1,258,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caovl",1923,11.7,2.3,192133,1,570,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"ulru",1923,12,15.4,192137,1,130,"NULL","A","A","A","AU","","","","","","","","","","","","","","","","","","","","","",""
"cato",1923,7.9,18,192139,1,268,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"qupr",1923,16.7,20,192141,1,558,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","tag swallowed","","","",""
"ulru",1924,16.2,4.7,192143,1,105,"NULL",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"caco",1924,17.3,7.6,192144,1,191,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"ulru",1924,14,5.7,192145,1,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"acru",1924,12.1,6.6,192146,1,161,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","tag missing","","","",""
"ulru",1924,10.4,5.6,192147,1,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"ulru",1924,14.9,8.8,192148,1,0,"DS","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"ulru",1924,16.7,11.1,192149,1,192,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1924,17.6,14.4,192151,1,433,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"ulru",1924,18.8,15.3,192152,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"fram",1924,16.7,16.4,192154,1,576,"DS","A","AU","DS","PD","","","","","","","","","","","","","","","","","","","","","",""
"ulru",1924,16.4,18.1,192159,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"ulru",1924,11.2,16.9,192171,1,0,"DC","DS","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"ulru",1924,7.9,14.9,192177,1,155,"NULL","A","A","AU","AU","","","","","","","","","","","","","","","","","","liana load","","","",""
"quru",1924,8,15.9,192183,1,159,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"ulru",1925,19.7,0.7,192185,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"fram",1925,17.7,2.6,192188,1,0,"DS","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"fram",1925,15.4,2.4,192192,1,570,"NULL","A","A","AU","AU","","","","","","","","","","","","","","","","","","gallery visible on roof","","","",""
"ulru",1925,11.8,2.9,192195,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"saal",1917,9.4,5.6,192204,1,241,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"fram",1917,6,6.2,192205,1,66,"DS;R","A","A","DS","PD","","","","","","","","","","","","","","","","","","","","","",""
"litu",1917,5.2,7.8,192206,1,478,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","tag missing","","","",""
"cato",1917,3,6.9,192207,1,123,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"quve",1917,0.7,10.9,192209,1,350,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"pist",1917,8.4,17.6,192213,1,543,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","tag missing","","","",""
"litu",1918,4.9,2.8,192218,1,319,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"quru",1918,5.2,0.7,192219,1,347,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","tag missing","","","",""
"cagl",1918,4.9,5.6,192220,1,152,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"quve",1918,2.6,10.1,192222,1,115,"NULL","A","A","A","AU","","","","","","","","","","","","","","","","","","crown defoliated","","","",""
"cagl",1918,3.6,14.3,192224,1,538,"I","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"nysy",1919,2.9,6,192230,1,174,"M","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"nysy",1919,2.9,6,192230,2,74,"S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"cagl",1919,4.6,5.8,192231,1,494,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"qupr",1919,9,2.3,192232,1,699,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"quve",1919,7.4,18.1,192239,1,301,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"quru",1919,7.4,20,192240,1,125,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","base damage","","","",""
"litu",1919,10.3,20,192242,1,172,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"amar",1919,13.6,17.5,192243,1,131,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","VB","","","",""
"qual",1919,18.1,16.8,192244,1,470,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cagl",1920,3.5,1,192246,1,386,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"qual",1920,8.1,0.7,192247,1,693,"A","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"pist",1920,3.1,5.5,192249,1,228,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"qual",1920,3.3,6.5,192250,1,344,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"unk",1920,8.5,7.2,192251,1,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"litu",1920,1.4,11.3,192253,1,201,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"qupr",1920,5.2,13,192254,1,341,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1921,0.7,1.8,192258,1,368,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"fram",1921,4.6,5.5,192260,1,0,"DS","A","DS","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"acru",1921,8.4,2.3,192261,1,134,"DS","A","A","AU","DS","","","","","","","","","","","","","","","","","","3 breaks total and crown; split vertical through middle","","","",""
"qupr",1921,2.1,9.1,192263,1,365,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"quru",1921,7.5,11.7,192276,1,531,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caovl",1921,2.3,19.9,192283,1,259,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"nysy",1922,7.4,1.4,192293,1,120,"NULL","A","A","A","AU","","","","","","","","","","","","","","","","","","crown (B)","","","",""
"caovl",1922,1.9,7.3,192299,1,381,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"casp",1923,2.7,0.5,192303,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"unk",1923,0.1,4.7,192304,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"unk",1923,8.7,12.6,192307,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"libe",1923,7.1,11.6,192308,1,0,"DN","A","DS","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"caco",1923,7.3,15.6,192310,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"ulam",1923,2.8,15.6,192312,1,0,"DN","DS","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"ulru",1923,8.1,2.6,192316,1,170,"NULL","A","A","AU","AU","","","","","","","","","","","","","","","","","","","","","",""
"unk",1923,3.2,17.6,192317,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"fram",1924,1.4,0.3,192318,1,173,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","no DE found","","","",""
"caco",1924,2.6,5.6,192319,1,198,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"fram",1924,7.9,2,192350,1,125,"DS","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"ulru",1925,3.6,2,192361,1,151,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"ulru",1925,8.9,7.5,192364,1,335,"NULL","A","A","AU","AU","","","","","","","","","","","","","","","","","","leaves limp and sparse","","","",""
"quru",1925,8.4,12.1,192372,1,207,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caco",1925,1.9,9.1,192374,1,187,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1925,6.4,12.2,192375,1,680,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"ulru",1925,8.6,14.4,192377,1,100,"NULL",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"fram",1925,12.6,14.3,192379,1,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"litu",1925,6.2,17.4,192389,1,551,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"quru",1925,5.5,16.5,192390,1,162,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1925,5,18.7,192392,1,317,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"ulru",1925,14.8,4.9,192408,1,0,"DS","A","A","DS","PD","","","","","","","","","","","","","","","","","","","","","",""
"ulru",1925,18.2,4,192411,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"ulru",1925,19.9,4.9,192414,1,107,"NULL",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"ulru",1925,16.2,10,192435,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"litu",1925,17,11.5,192437,1,457,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1925,17.7,14.2,192449,1,189,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"qual",1926,11.9,0.7,192465,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"quru",1926,13.3,1.7,192466,1,846,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"quru",1926,17.4,11.2,192484,1,440,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"ceca",1926,15,11.1,192491,1,105,"I","A","A","A","AU","","","","","","","","","","","","","","","","","","neofusicoccum spp.","","","",""
"ulsp",1927,13.7,3.3,192506,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"fram",1927,20,4.7,192511,1,82,"J","A","A","A","A","","","","","","","","","","","","","","","","","","leaning; break @ crown","","","",""
"unk",1927,17.3,7.4,192514,1,0,"DS","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"cagl",1927,17,6.4,192515,1,191,"M","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cagl",1927,17,6.4,192515,2,21,"S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"ulru",1927,19.7,10.9,192517,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"frpe",1927,18.7,18,192519,1,117,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"fram",1927,15.8,17.1,192520,1,219,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cofl",1927,19.1,19.9,192521,1,0,"DC","A","A","A","A","","","","","","","","","","","","","","","","","","no anthracnose","","","",""
"quve",1928,14.6,1.3,192522,1,668,"NULL","A","A","A","AU","","","","","","","","","","","","","","","","","","","","","",""
"litu",1928,15.4,4.5,192524,1,288,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1928,12.5,3.2,192525,1,545,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"fagr",1928,11.6,1,192526,1,219,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1928,11.9,5,192527,1,517,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1928,12.4,9.7,192528,1,587,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"fram",1928,18.1,8.3,192530,1,78,"NULL","A","A","A","AU","","","","","","","","","","","","","","","","","","ant colony","","","",""
"fagr",1928,19.2,18.1,192532,1,195,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1928,18.4,17.2,192533,1,424,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1928,13.3,17.4,192534,1,571,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1928,13.5,19.5,192535,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"quru",1928,12.1,16.6,192537,1,100,"NULL",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"quve",1928,10,17,192538,1,0,"DS","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"litu",1929,18.9,3.8,192542,1,332,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1929,14.9,4.4,192543,1,463,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","leaned on by 192674","","","",""
"litu",1929,14.4,1.8,192544,1,352,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","leaned on by 192674","","","",""
"litu",1929,17.4,7.3,192546,1,544,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1929,19.8,10.6,192547,1,233,"NULL","A","A","A","AU","","","","","","","","","","","","","","","","","","main crown DF; epicormics","","","",""
"litu",1929,15.3,11.3,192548,1,480,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1929,16.2,12,192549,1,323,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1929,16.5,16.3,192551,1,764,"NULL","A","A","AU","A","","","","","","","","","","","","","","","","","","","","","",""
"fram",1929,16.7,17.4,192552,1,147,"DS","A","A","DS","PD","","","","","","","","","","","","","","","","","","","","","",""
"ulru",1929,7.2,15.9,192553,1,173,"NULL","A","A","A","AU","","","","","","","","","","","","","","","","","","break @ 7.2m","","","",""
"quru",1930,13.7,9,192554,1,161,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
