tag,stemtag,sp,quadrat,biannual,cored,year.cored,dbh2008,dbh2013,dbh2018,crown.position
70581,1,quru ,714,1,0,NA,579.5,614.5,,
70602,1,qual,715,0,1,2010-2011,269.2,280.7,,
72024,1,quve ,717,1,0,NA,447.6,482.3,,
72115,1,litu ,719,1,0,NA,469.3,479.9,,
72116,1,litu ,719,1,0,NA,456.2,476.2,,
72122,1,caca ,719,1,0,NA,78.8,83.3,,
72124,1,quru ,719,1,0,NA,712,747.2,,
72140,1,quru,720,0,1,2010-2011,488.7,518,,
72149,1,litu ,720,1,0,NA,542,554.1,,
72210,1,qual ,721,1,0,NA,835,853.1,,
72232,1,qual,722,1,1,2010-2011,711.4,728.5,,
72248,1,caco ,723,1,0,NA,301.6,313.2,,
72308,1,qual ,725,1,0,NA,652.9,654.2,,
72322,1,litu ,726,1,0,NA,246,247.8,,
72324,1,litu ,726,1,0,NA,644.8,667.2,,
72337,1,quru ,727,1,0,NA,877.7,905.8,,
72348,1,quru ,727,1,0,NA,915.9,946.6,,
72357,1,quru ,728,1,0,NA,814.9,881.3,,
72375,1,litu ,728,1,0,NA,669.8,669.1,,
72377,1,litu ,728,1,0,NA,725.8,746.9,,
72396,1,quru,729,0,1,2010-2011,743.1,783.9,,
72424,1,juni,730,0,1,2010-2011,599,613,,
72427,1,litu ,730,1,0,NA,1365.2,1422.3,,
72447,1,litu ,732,1,0,NA,562.1,591.3,,
72448,1,litu ,732,1,0,NA,437.1,457.8,,
72458,1,pist,732,0,1,2010-2011,279.1,296.1,,
80005,1,fram ,801,1,0,NA,677.7,694.5,,
80046,1,quve,802,0,1,2010-2011,592.8,620,,
80089,1,qual,804,0,1,2010-2011,512.1,534.1,,
80100,1,litu ,804,1,0,NA,533.7,562.9,,
80148,1,quve,803,0,1,2010-2011,727.5,760.2,,
80159,1,quve,803,0,1,2010-2011,265.9,273.1,,
80180,1,cato ,804,1,0,NA,991.2,993.4,,
80230,1,qupr,805,0,1,2010-2011,346.6,358.8,,
80233,1,quru,805,0,1,2010-2011,713.1,736.8,,
80235,1,quru,805,0,1,2010-2011,776.7,793.1,,
80248,1,litu,805,0,1,2010-2011,132.7,138.4,,
80282,1,litu,806,0,1,2010-2011,260.8,268.7,,
80301,1,cagl,804,0,1,2010-2011,152.2,158.1,,
80316,1,quru,806,0,1,2010-2011,784.2,791.3,,
80330,1,quru,806,0,1,2010-2011,498.7,524.9,,
80401,1,caco ,807,1,0,NA,414.4,446.7,,
